PKEY,YEAR,STATE,TYPEOFPRODUCER,ENERGYSOURCE,USEOFELECTRICITY
52,2002,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,131230
53,2003,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,1014057618
54,2003,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,206653334
55,2003,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,5616135318
56,2003,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,156306
57,2004,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,1020522653
58,2004,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,203494347
59,2004,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,5674579580
60,2004,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,135144
61,2005,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,1041447679
62,2005,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,206785364
63,2005,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,6036369613
64,2005,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,109916
65,2006,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,1030556392
66,2006,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,110633916
67,2006,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,6461614805
68,2006,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,114665
69,2007,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,1046795402
70,2007,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,112614638
71,2007,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,7089342314
72,2007,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,114904
73,2008,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,1042334650
74,2008,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,80932099
75,2008,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,6895842999
76,2008,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,96757
77,2009,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,934683209
78,2009,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,67668276
79,2009,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,7121068839
80,2009,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,83593
81,2010,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,979683890
82,2010,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,65070556
83,2010,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,7680184728
84,2010,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,90058
85,2011,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,934938323
86,2011,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,7883870000
87,2011,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,91290
88,2011,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,52386548
89,2012,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,825733536
90,2012,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,9484709756
91,2012,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,103353
92,2012,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,40977173
93,2013,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,860728613
94,2013,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,8596300000
95,2013,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,115303
96,2013,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,47491792
97,2014,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,853633769
98,2014,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,8544390000
99,2014,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,110010
100,2014,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,53593018
101,2015,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,739594180
102,2015,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,10016575541
103,2015,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,105997
104,2015,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,49145370
105,2016,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,677371142
106,2016,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,10170109703
107,2016,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,73785
108,2016,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,43670662
109,2017,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,663910811
110,2017,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,9508062296
111,2017,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,70721
112,2017,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,39143873
113,2018,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,636213440
114,2018,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,10833042827
115,2018,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,78757
116,2018,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,46727473
