PKEY,YEAR,STATE,TYPEOFPRODUCER,ENERGYSOURCE,C02,S02,N0X
1,1990,AK,COMMERCIAL COGEN,ALL SOURCES,824004,13198,3011
2,1990,AK,COMMERCIAL COGEN,COAL,821929,13191,3009
3,1990,AK,COMMERCIAL COGEN,PETROLEUM,2075,6,2
4,1990,AK,COMMERCIAL NON-COGEN,ALL SOURCES,0,149,42
5,1990,AK,COMMERCIAL NON-COGEN,PETROLEUM,0,149,42
6,1990,AK,ELECTRIC UTILITY,ALL SOURCES,2814130,2403,7837
7,1990,AK,ELECTRIC UTILITY,COAL,646430,832,2881
8,1990,AK,ELECTRIC UTILITY,NATURAL GAS,1886585,9,4364
9,1990,AK,ELECTRIC UTILITY,PETROLEUM,281115,1562,592
10,1990,AK,INDUSTRIAL COGEN,ALL SOURCES,176547,2968,791
11,1990,AK,INDUSTRIAL COGEN,NATURAL GAS,127455,1,308
12,1990,AK,INDUSTRIAL COGEN,OTHER,0,983,220
13,1990,AK,INDUSTRIAL COGEN,PETROLEUM,49092,1984,263
14,1990,AK,INDUSTRIAL NON-COGEN,ALL SOURCES,394128,23,881
15,1990,AK,INDUSTRIAL NON-COGEN,NATURAL GAS,388618,1,866
16,1990,AK,INDUSTRIAL NON-COGEN,OTHER,0,1,9
17,1990,AK,INDUSTRIAL NON-COGEN,PETROLEUM,5510,21,5
18,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,4208809,18741,12562
19,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,COAL,1468359,14023,5890
20,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,2402658,11,5538
21,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,984,229
22,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,337792,3723,904
23,1990,AL,ELECTRIC UTILITY,ALL SOURCES,50160812,467522,204197
24,1990,AL,ELECTRIC UTILITY,COAL,49880908,467393,203687
25,1990,AL,ELECTRIC UTILITY,NATURAL GAS,223787,1,448
26,1990,AL,ELECTRIC UTILITY,PETROLEUM,56117,129,63
27,1990,AL,INDUSTRIAL COGEN,ALL SOURCES,2517869,32103,11625
28,1990,AL,INDUSTRIAL COGEN,COAL,1527201,16568,5979
29,1990,AL,INDUSTRIAL COGEN,NATURAL GAS,802719,4,1566
30,1990,AL,INDUSTRIAL COGEN,OTHER,15962,14191,3882
31,1990,AL,INDUSTRIAL COGEN,PETROLEUM,171987,1340,198
32,1990,AL,INDUSTRIAL NON-COGEN,ALL SOURCES,9177,0,16
33,1990,AL,INDUSTRIAL NON-COGEN,NATURAL GAS,9177,0,16
34,1990,AL,IPP NAICS-22 COGEN,ALL SOURCES,248205,5904,2581
35,1990,AL,IPP NAICS-22 COGEN,COAL,171365,1267,734
36,1990,AL,IPP NAICS-22 COGEN,NATURAL GAS,76840,0,179
37,1990,AL,IPP NAICS-22 COGEN,OTHER,0,4637,1669
38,1990,AL,IPP NAICS-22 NON-COGEN,OTHER,0,0,0
39,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,52936063,505530,218419
40,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,COAL,51579474,485229,210395
41,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1112523,5,2209
42,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,OTHER,15962,18828,5555
43,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,228104,1469,260
44,1990,AR,COMMERCIAL COGEN,ALL SOURCES,23987,2,138
45,1990,AR,COMMERCIAL COGEN,NATURAL GAS,21142,0,92
46,1990,AR,COMMERCIAL COGEN,OTHER,0,0,43
47,1990,AR,COMMERCIAL COGEN,PETROLEUM,2845,2,3
48,1990,AR,ELECTRIC UTILITY,ALL SOURCES,21900923,62774,101992
49,1990,AR,ELECTRIC UTILITY,COAL,20100009,62609,97849
50,1990,AR,ELECTRIC UTILITY,NATURAL GAS,1734286,8,4072
51,1990,AR,ELECTRIC UTILITY,PETROLEUM,66628,157,71
52,1990,AR,INDUSTRIAL COGEN,ALL SOURCES,1500892,14688,6675
53,1990,AR,INDUSTRIAL COGEN,COAL,250873,3930,910
54,1990,AR,INDUSTRIAL COGEN,NATURAL GAS,1222896,5,2578
55,1990,AR,INDUSTRIAL COGEN,OTHER,15961,10659,3169
56,1990,AR,INDUSTRIAL COGEN,PETROLEUM,11162,94,18
57,1990,AR,INDUSTRIAL NON-COGEN,ALL SOURCES,0,1,592
58,1990,AR,INDUSTRIAL NON-COGEN,NATURAL GAS,0,1,592
59,1990,AR,INDUSTRIAL NON-COGEN,PETROLEUM,0,0,0
60,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,23425802,77465,109397
61,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,COAL,20350882,66538,98759
62,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,2978324,15,7335
63,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,OTHER,15961,10659,3212
64,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,80635,253,92
65,1990,AZ,COMMERCIAL COGEN,ALL SOURCES,19680,4,44
66,1990,AZ,COMMERCIAL COGEN,NATURAL GAS,18476,0,44
67,1990,AZ,COMMERCIAL COGEN,PETROLEUM,1204,4,1
68,1990,AZ,ELECTRIC UTILITY,ALL SOURCES,32320915,107051,145711
69,1990,AZ,ELECTRIC UTILITY,COAL,31017960,106869,142297
70,1990,AZ,ELECTRIC UTILITY,NATURAL GAS,1212363,6,3309
71,1990,AZ,ELECTRIC UTILITY,PETROLEUM,90592,175,105
72,1990,AZ,INDUSTRIAL COGEN,ALL SOURCES,761033,7630,3303
73,1990,AZ,INDUSTRIAL COGEN,COAL,709836,6562,3038
74,1990,AZ,INDUSTRIAL COGEN,NATURAL GAS,31524,0,59
75,1990,AZ,INDUSTRIAL COGEN,OTHER,0,844,145
76,1990,AZ,INDUSTRIAL COGEN,PETROLEUM,19673,225,61
77,1990,AZ,INDUSTRIAL NON-COGEN,ALL SOURCES,9585,3,21
78,1990,AZ,INDUSTRIAL NON-COGEN,NATURAL GAS,8551,0,20
79,1990,AZ,INDUSTRIAL NON-COGEN,PETROLEUM,1034,3,1
80,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,33111213,114687,149080
81,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,COAL,31727796,113431,145335
82,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1270914,6,3432
83,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,844,145
84,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,112503,406,168
85,1990,CA,COMMERCIAL COGEN,ALL SOURCES,898495,30,2100
86,1990,CA,COMMERCIAL COGEN,NATURAL GAS,887033,4,2077
87,1990,CA,COMMERCIAL COGEN,OTHER,0,0,14
88,1990,CA,COMMERCIAL COGEN,PETROLEUM,11462,26,10
89,1990,CA,COMMERCIAL NON-COGEN,ALL SOURCES,144,0,219
90,1990,CA,COMMERCIAL NON-COGEN,NATURAL GAS,144,0,69
91,1990,CA,COMMERCIAL NON-COGEN,OTHER,0,0,150
92,1990,CA,COMMERCIAL NON-COGEN,PETROLEUM,0,0,0
93,1990,CA,ELECTRIC UTILITY,ALL SOURCES,28790382,7378,62440
94,1990,CA,ELECTRIC UTILITY,GEOTHERMAL,205533,0,0
95,1990,CA,ELECTRIC UTILITY,NATURAL GAS,25026594,124,56258
96,1990,CA,ELECTRIC UTILITY,PETROLEUM,3558255,7254,6182
97,1990,CA,INDUSTRIAL COGEN,ALL SOURCES,11088867,63790,28941
98,1990,CA,INDUSTRIAL COGEN,COAL,2406134,24304,9528
99,1990,CA,INDUSTRIAL COGEN,NATURAL GAS,7703680,33,15263
100,1990,CA,INDUSTRIAL COGEN,OTHER,0,3134,2593
101,1990,CA,INDUSTRIAL COGEN,PETROLEUM,979053,36318,1557
102,1990,CA,INDUSTRIAL NON-COGEN,ALL SOURCES,61435,5,359
103,1990,CA,INDUSTRIAL NON-COGEN,NATURAL GAS,61435,0,206
104,1990,CA,INDUSTRIAL NON-COGEN,OTHER,0,5,153
105,1990,CA,IPP NAICS-22 COGEN,ALL SOURCES,10549710,7326,23288
106,1990,CA,IPP NAICS-22 COGEN,COAL,1448676,7254,6030
107,1990,CA,IPP NAICS-22 COGEN,NATURAL GAS,8979872,45,17189
108,1990,CA,IPP NAICS-22 COGEN,OTHER,112790,5,64
109,1990,CA,IPP NAICS-22 COGEN,PETROLEUM,8372,21,5
110,1990,CA,IPP NAICS-22 NON-COGEN,ALL SOURCES,1266610,3258,10605
111,1990,CA,IPP NAICS-22 NON-COGEN,COAL,0,309,420
112,1990,CA,IPP NAICS-22 NON-COGEN,GEOTHERMAL,155136,0,0
113,1990,CA,IPP NAICS-22 NON-COGEN,NATURAL GAS,234572,0,425
114,1990,CA,IPP NAICS-22 NON-COGEN,OTHER,369283,212,8738
115,1990,CA,IPP NAICS-22 NON-COGEN,PETROLEUM,507619,2737,1021
116,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,52655643,81786,127952
117,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,COAL,3854810,31859,16168
118,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,GEOTHERMAL,360669,0,0
119,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,42893330,206,91002
120,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,482073,3358,12014
121,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,5064761,46364,8768
122,1990,CO,COMMERCIAL NON-COGEN,ALL SOURCES,0,0,132
123,1990,CO,COMMERCIAL NON-COGEN,OTHER,0,0,132
124,1990,CO,ELECTRIC UTILITY,ALL SOURCES,30168377,79608,141552
125,1990,CO,ELECTRIC UTILITY,COAL,29859399,79557,140897
126,1990,CO,ELECTRIC UTILITY,NATURAL GAS,287943,0,630
127,1990,CO,ELECTRIC UTILITY,PETROLEUM,21035,51,24
128,1990,CO,INDUSTRIAL COGEN,ALL SOURCES,167326,2,396
129,1990,CO,INDUSTRIAL COGEN,NATURAL GAS,164682,0,394
130,1990,CO,INDUSTRIAL COGEN,PETROLEUM,2644,2,3
131,1990,CO,INDUSTRIAL NON-COGEN,ALL SOURCES,6479,0,15
132,1990,CO,INDUSTRIAL NON-COGEN,NATURAL GAS,6479,0,15
133,1990,CO,IPP NAICS-22 COGEN,ALL SOURCES,1106563,13555,3825
134,1990,CO,IPP NAICS-22 COGEN,COAL,754529,13502,3127
135,1990,CO,IPP NAICS-22 COGEN,NATURAL GAS,350904,1,629
136,1990,CO,IPP NAICS-22 COGEN,OTHER,1130,53,69
137,1990,CO,IPP NAICS-22 NON-COGEN,ALL SOURCES,68340,0,123
138,1990,CO,IPP NAICS-22 NON-COGEN,NATURAL GAS,68340,0,123
139,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,31517085,93165,146044
140,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,COAL,30613928,93059,144024
141,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,878348,1,1792
142,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,OTHER,1130,53,201
143,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,23679,53,27
144,1990,CT,COMMERCIAL COGEN,ALL SOURCES,64098,179,239
145,1990,CT,COMMERCIAL COGEN,NATURAL GAS,59131,0,174
146,1990,CT,COMMERCIAL COGEN,PETROLEUM,4967,179,65
147,1990,CT,ELECTRIC UTILITY,ALL SOURCES,9640606,47950,24492
148,1990,CT,ELECTRIC UTILITY,COAL,2363360,9329,10122
149,1990,CT,ELECTRIC UTILITY,NATURAL GAS,265710,2,616
150,1990,CT,ELECTRIC UTILITY,OTHER,0,543,1161
151,1990,CT,ELECTRIC UTILITY,PETROLEUM,7011536,38076,12593
152,1990,CT,INDUSTRIAL COGEN,ALL SOURCES,339146,2018,612
153,1990,CT,INDUSTRIAL COGEN,NATURAL GAS,3774,0,9
154,1990,CT,INDUSTRIAL COGEN,PETROLEUM,335372,2018,603
155,1990,CT,IPP NAICS-22 COGEN,ALL SOURCES,1651078,2001,5221
156,1990,CT,IPP NAICS-22 COGEN,COAL,1197109,1798,4167
157,1990,CT,IPP NAICS-22 COGEN,NATURAL GAS,369028,2,809
158,1990,CT,IPP NAICS-22 COGEN,OTHER,54423,45,201
159,1990,CT,IPP NAICS-22 COGEN,PETROLEUM,30518,156,44
160,1990,CT,IPP NAICS-22 NON-COGEN,ALL SOURCES,408340,86,948
161,1990,CT,IPP NAICS-22 NON-COGEN,OTHER,408340,86,948
162,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,12103268,52235,31512
163,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,COAL,3560469,11127,14288
164,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,697643,4,1608
165,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,OTHER,462763,675,2310
166,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,7382393,40429,13306
167,1990,DC,ELECTRIC UTILITY,ALL SOURCES,409724,2303,425
168,1990,DC,ELECTRIC UTILITY,PETROLEUM,409724,2303,425
169,1990,DC,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,409724,2303,425
170,1990,DC,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,409724,2303,425
171,1990,DE,ELECTRIC UTILITY,ALL SOURCES,7486107,41301,23215
172,1990,DE,ELECTRIC UTILITY,COAL,4997616,33742,19891
173,1990,DE,ELECTRIC UTILITY,NATURAL GAS,619690,2,960
174,1990,DE,ELECTRIC UTILITY,PETROLEUM,1868801,7557,2364
175,1990,DE,INDUSTRIAL COGEN,ALL SOURCES,1398772,38750,3992
176,1990,DE,INDUSTRIAL COGEN,COAL,431208,4748,1813
177,1990,DE,INDUSTRIAL COGEN,NATURAL GAS,0,0,41
178,1990,DE,INDUSTRIAL COGEN,OTHER,0,162,0
179,1990,DE,INDUSTRIAL COGEN,PETROLEUM,967564,33839,2138
180,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,8884879,80050,27206
181,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,COAL,5428824,38490,21703
182,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,619690,2,1001
183,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,162,0
184,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,2836365,41396,4503
185,1990,FL,COMMERCIAL COGEN,ALL SOURCES,134135,220,390
186,1990,FL,COMMERCIAL COGEN,NATURAL GAS,134081,0,324
187,1990,FL,COMMERCIAL COGEN,PETROLEUM,54,220,66
188,1990,FL,COMMERCIAL NON-COGEN,ALL SOURCES,0,0,164
189,1990,FL,COMMERCIAL NON-COGEN,OTHER,0,0,164
190,1990,FL,ELECTRIC UTILITY,ALL SOURCES,85943458,573795,268450
191,1990,FL,ELECTRIC UTILITY,COAL,55588010,425438,209876
192,1990,FL,ELECTRIC UTILITY,NATURAL GAS,10153655,53,23103
193,1990,FL,ELECTRIC UTILITY,OTHER,0,6,38
194,1990,FL,ELECTRIC UTILITY,PETROLEUM,20201793,148297,35433
195,1990,FL,INDUSTRIAL COGEN,ALL SOURCES,3681228,56619,14907
196,1990,FL,INDUSTRIAL COGEN,COAL,1218404,10612,4764
197,1990,FL,INDUSTRIAL COGEN,NATURAL GAS,943425,4,2094
198,1990,FL,INDUSTRIAL COGEN,OTHER,230494,26378,5603
199,1990,FL,INDUSTRIAL COGEN,PETROLEUM,1288905,19625,2446
200,1990,FL,INDUSTRIAL NON-COGEN,ALL SOURCES,33192,0,213
201,1990,FL,INDUSTRIAL NON-COGEN,NATURAL GAS,33192,0,213
202,1990,FL,IPP NAICS-22 COGEN,ALL SOURCES,653044,482,2230
203,1990,FL,IPP NAICS-22 COGEN,COAL,649880,481,2228
204,1990,FL,IPP NAICS-22 COGEN,PETROLEUM,3164,1,2
205,1990,FL,IPP NAICS-22 NON-COGEN,ALL SOURCES,1110180,1646,3275
206,1990,FL,IPP NAICS-22 NON-COGEN,NATURAL GAS,919,0,2
207,1990,FL,IPP NAICS-22 NON-COGEN,OTHER,1107836,1646,3272
208,1990,FL,IPP NAICS-22 NON-COGEN,PETROLEUM,1425,0,1
209,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,91555237,632761,289629
210,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,COAL,57456294,436233,216727
211,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,11265272,56,25719
212,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,OTHER,1338330,28285,9258
213,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,21495341,168186,37924
214,1990,GA,COMMERCIAL COGEN,ALL SOURCES,0,0,0
215,1990,GA,COMMERCIAL COGEN,PETROLEUM,0,0,0
216,1990,GA,COMMERCIAL NON-COGEN,ALL SOURCES,1637,5,1
217,1990,GA,COMMERCIAL NON-COGEN,NATURAL GAS,0,0,0
218,1990,GA,COMMERCIAL NON-COGEN,PETROLEUM,1637,5,1
219,1990,GA,ELECTRIC UTILITY,ALL SOURCES,62043023,774340,279312
220,1990,GA,ELECTRIC UTILITY,COAL,61789229,773402,278851
221,1990,GA,ELECTRIC UTILITY,NATURAL GAS,105082,0,244
222,1990,GA,ELECTRIC UTILITY,PETROLEUM,148712,938,218
223,1990,GA,INDUSTRIAL COGEN,ALL SOURCES,5807929,74161,26946
224,1990,GA,INDUSTRIAL COGEN,COAL,3382350,31609,13129
225,1990,GA,INDUSTRIAL COGEN,NATURAL GAS,975050,4,1978
226,1990,GA,INDUSTRIAL COGEN,OTHER,310556,30285,10044
227,1990,GA,INDUSTRIAL COGEN,PETROLEUM,1139973,12263,1795
228,1990,GA,INDUSTRIAL NON-COGEN,ALL SOURCES,90,1,5
229,1990,GA,INDUSTRIAL NON-COGEN,NATURAL GAS,0,0,5
230,1990,GA,INDUSTRIAL NON-COGEN,PETROLEUM,90,1,0
231,1990,GA,IPP NAICS-22 NON-COGEN,ALL SOURCES,14,0,0
232,1990,GA,IPP NAICS-22 NON-COGEN,NATURAL GAS,0,0,0
233,1990,GA,IPP NAICS-22 NON-COGEN,PETROLEUM,14,0,0
234,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,67852693,848506,306264
235,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,COAL,65171579,805011,291981
236,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1080132,4,2225
237,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,310556,30285,10044
238,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,1290426,13207,2014
239,1990,HI,ELECTRIC UTILITY,ALL SOURCES,6694792,27310,12013
240,1990,HI,ELECTRIC UTILITY,PETROLEUM,6694792,27310,12013
241,1990,HI,INDUSTRIAL COGEN,ALL SOURCES,258050,2464,597
242,1990,HI,INDUSTRIAL COGEN,COAL,3860,31,18
243,1990,HI,INDUSTRIAL COGEN,OTHER,0,0,0
244,1990,HI,INDUSTRIAL COGEN,PETROLEUM,254190,2433,579
245,1990,HI,IPP NAICS-22 COGEN,ALL SOURCES,874302,5350,1592
246,1990,HI,IPP NAICS-22 COGEN,COAL,2485,47,8
247,1990,HI,IPP NAICS-22 COGEN,PETROLEUM,871817,5302,1584
248,1990,HI,IPP NAICS-22 NON-COGEN,ALL SOURCES,236361,91,686
249,1990,HI,IPP NAICS-22 NON-COGEN,OTHER,236361,44,672
250,1990,HI,IPP NAICS-22 NON-COGEN,PETROLEUM,0,47,14
251,1990,HI,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,8063505,35214,14888
252,1990,HI,TOTAL ELECTRIC POWER INDUSTRY,COAL,6345,78,26
253,1990,HI,TOTAL ELECTRIC POWER INDUSTRY,OTHER,236361,44,672
254,1990,HI,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,7820799,35093,14189
255,1990,IA,COMMERCIAL COGEN,ALL SOURCES,68989,175,274
256,1990,IA,COMMERCIAL COGEN,COAL,59262,174,252
257,1990,IA,COMMERCIAL COGEN,NATURAL GAS,8774,0,21
258,1990,IA,COMMERCIAL COGEN,PETROLEUM,953,1,1
259,1990,IA,ELECTRIC UTILITY,ALL SOURCES,26505364,155102,138039
260,1990,IA,ELECTRIC UTILITY,COAL,26267482,154868,137453
261,1990,IA,ELECTRIC UTILITY,NATURAL GAS,185870,0,467
262,1990,IA,ELECTRIC UTILITY,OTHER,0,50,45
263,1990,IA,ELECTRIC UTILITY,PETROLEUM,52012,184,73
264,1990,IA,INDUSTRIAL COGEN,ALL SOURCES,3059190,22281,12513
265,1990,IA,INDUSTRIAL COGEN,COAL,2764444,22209,11839
266,1990,IA,INDUSTRIAL COGEN,NATURAL GAS,285069,1,660
267,1990,IA,INDUSTRIAL COGEN,OTHER,1212,0,2
268,1990,IA,INDUSTRIAL COGEN,PETROLEUM,8465,72,13
269,1990,IA,IPP NAICS-22 COGEN,ALL SOURCES,320410,5207,1269
270,1990,IA,IPP NAICS-22 COGEN,COAL,287334,5207,1206
271,1990,IA,IPP NAICS-22 COGEN,NATURAL GAS,33076,0,64
272,1990,IA,IPP NAICS-22 NON-COGEN,ALL SOURCES,152,0,5
273,1990,IA,IPP NAICS-22 NON-COGEN,NATURAL GAS,0,0,5
274,1990,IA,IPP NAICS-22 NON-COGEN,PETROLEUM,152,0,0
275,1990,IA,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,29954105,182766,152100
276,1990,IA,TOTAL ELECTRIC POWER INDUSTRY,COAL,29378522,182458,150750
277,1990,IA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,512789,1,1216
278,1990,IA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,1212,50,47
279,1990,IA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,61582,257,87
280,1990,ID,ELECTRIC UTILITY,ALL SOURCES,96,4,1
281,1990,ID,ELECTRIC UTILITY,PETROLEUM,96,4,1
282,1990,ID,INDUSTRIAL COGEN,ALL SOURCES,488947,8651,2676
283,1990,ID,INDUSTRIAL COGEN,COAL,316004,5544,1608
284,1990,ID,INDUSTRIAL COGEN,NATURAL GAS,171264,1,320
285,1990,ID,INDUSTRIAL COGEN,OTHER,0,3088,746
286,1990,ID,INDUSTRIAL COGEN,PETROLEUM,1679,19,3
287,1990,ID,IPP NAICS-22 COGEN,OTHER,0,0,0
288,1990,ID,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,489043,8655,2677
289,1990,ID,TOTAL ELECTRIC POWER INDUSTRY,COAL,316004,5540,1547
290,1990,ID,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,171264,1,307
291,1990,ID,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,3092,820
292,1990,ID,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,1775,22,3
293,1990,IL,COMMERCIAL COGEN,ALL SOURCES,54495,0,129
294,1990,IL,COMMERCIAL COGEN,NATURAL GAS,54495,0,129
295,1990,IL,ELECTRIC UTILITY,ALL SOURCES,57153126,813488,318872
296,1990,IL,ELECTRIC UTILITY,COAL,55637070,809753,316412
297,1990,IL,ELECTRIC UTILITY,NATURAL GAS,492352,1,1160
298,1990,IL,ELECTRIC UTILITY,PETROLEUM,1023704,3734,1300
299,1990,IL,INDUSTRIAL COGEN,ALL SOURCES,3547108,35683,15571
300,1990,IL,INDUSTRIAL COGEN,COAL,2699554,35479,13593
301,1990,IL,INDUSTRIAL COGEN,NATURAL GAS,796971,3,1890
302,1990,IL,INDUSTRIAL COGEN,PETROLEUM,50583,201,88
303,1990,IL,INDUSTRIAL NON-COGEN,ALL SOURCES,375,2,308
304,1990,IL,INDUSTRIAL NON-COGEN,NATURAL GAS,53,1,308
305,1990,IL,INDUSTRIAL NON-COGEN,PETROLEUM,322,1,0
306,1990,IL,IPP NAICS-22 COGEN,ALL SOURCES,6511,0,217
307,1990,IL,IPP NAICS-22 COGEN,NATURAL GAS,6511,0,15
308,1990,IL,IPP NAICS-22 COGEN,OTHER,0,0,201
309,1990,IL,IPP NAICS-22 NON-COGEN,ALL SOURCES,0,0,712
310,1990,IL,IPP NAICS-22 NON-COGEN,OTHER,0,0,712
311,1990,IL,IPP NAICS-22 NON-COGEN,PETROLEUM,0,0,0
312,1990,IL,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,60761615,849173,335809
313,1990,IL,TOTAL ELECTRIC POWER INDUSTRY,COAL,58336624,845232,330004
314,1990,IL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1350382,5,3503
315,1990,IL,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,0,914
316,1990,IL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,1074609,3936,1388
317,1990,IN,COMMERCIAL COGEN,ALL SOURCES,556349,4072,2074
318,1990,IN,COMMERCIAL COGEN,COAL,245976,3952,1143
319,1990,IN,COMMERCIAL COGEN,NATURAL GAS,9194,0,22
320,1990,IN,COMMERCIAL COGEN,OTHER,299535,114,907
321,1990,IN,COMMERCIAL COGEN,PETROLEUM,1644,6,2
322,1990,IN,ELECTRIC UTILITY,ALL SOURCES,94833181,1256161,477731
323,1990,IN,ELECTRIC UTILITY,COAL,93741400,1255820,476712
324,1990,IN,ELECTRIC UTILITY,NATURAL GAS,352886,1,822
325,1990,IN,ELECTRIC UTILITY,PETROLEUM,738895,340,197
326,1990,IN,INDUSTRIAL COGEN,ALL SOURCES,3647827,16533,9779
327,1990,IN,INDUSTRIAL COGEN,COAL,1613576,13465,6161
328,1990,IN,INDUSTRIAL COGEN,NATURAL GAS,1469103,6,2882
329,1990,IN,INDUSTRIAL COGEN,PETROLEUM,565148,3062,736
330,1990,IN,INDUSTRIAL NON-COGEN,ALL SOURCES,41237,17,103
331,1990,IN,INDUSTRIAL NON-COGEN,NATURAL GAS,40680,0,97
332,1990,IN,INDUSTRIAL NON-COGEN,PETROLEUM,557,17,5
333,1990,IN,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,99078594,1276784,489687
334,1990,IN,TOTAL ELECTRIC POWER INDUSTRY,COAL,95600952,1273237,484016
335,1990,IN,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1871863,7,3824
336,1990,IN,TOTAL ELECTRIC POWER INDUSTRY,OTHER,299535,114,907
337,1990,IN,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,1306244,3426,940
338,1990,KS,ELECTRIC UTILITY,ALL SOURCES,27264808,78331,123942
339,1990,KS,ELECTRIC UTILITY,COAL,25770223,77331,120124
340,1990,KS,ELECTRIC UTILITY,NATURAL GAS,1429458,5,3483
341,1990,KS,ELECTRIC UTILITY,PETROLEUM,65127,994,336
342,1990,KS,INDUSTRIAL COGEN,ALL SOURCES,252238,167,737
343,1990,KS,INDUSTRIAL COGEN,NATURAL GAS,241099,1,687
344,1990,KS,INDUSTRIAL COGEN,PETROLEUM,11139,166,50
345,1990,KS,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,27517046,78498,124679
346,1990,KS,TOTAL ELECTRIC POWER INDUSTRY,COAL,25770223,77331,120126
347,1990,KS,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1670557,6,4168
